Lead Number,Lead Origin,Lead Source,ToBeConverted,TotalVisits,Total Time Spent on Website,Last Activity,Lead Quality,Last Notable Activity
648066,Landing Page Submission,Google,0,3,174,Unreachable,Might be,Modified
648060,Landing Page Submission,Google,0,5,343,Email Opened,,Email Opened
648044,API,Olark Chat,0,0,0,Olark Chat Conversation,,Modified
648037,API,Olark Chat,0,0,0,Olark Chat Conversation,,Modified
648033,API,Referral Sites,0,4,1412,Olark Chat Conversation,,Modified
648015,Landing Page Submission,Google,0,3,68,Page Visited on Website,,Modified
647974,Lead Import,Facebook,0,,93,SMS Sent,,Modified
647975,Lead Import,Facebook,0,,270,SMS Sent,,Modified
647976,Lead Import,Facebook,0,0,0,Email Opened,,Email Opened
647977,Lead Import,Facebook,0,,214,SMS Sent,,Modified
647978,Lead Import,Facebook,0,,342,SMS Sent,,Modified
647979,Lead Import,Facebook,0,0,0,Email Opened,,Email Opened
647980,Lead Import,Facebook,1,0,0,SMS Sent,,SMS Sent
647981,Lead Import,Facebook,0,,1454,SMS Sent,,Modified
647982,Lead Import,Facebook,0,,256,SMS Sent,,Modified
647983,Lead Import,Facebook,1,0,0,SMS Sent,,Modified
647984,Lead Import,Facebook,0,0,0,Email Opened,,Email Opened
647985,Lead Import,Facebook,0,0,0,Email Opened,,Email Opened
647986,Lead Import,Facebook,0,0,0,Email Opened,,Email Opened
647987,Lead Import,Facebook,0,,238,,Low in Relevance,Modified
647988,Lead Import,Facebook,0,,300,,,Modified
647989,Lead Import,Facebook,0,0,0,Email Opened,,Email Opened
647990,Lead Import,Facebook,1,,1542,Email Bounced,Low in Relevance,Modified
647991,Lead Import,Facebook,0,0,0,Email Opened,,Email Opened
647992,Lead Import,Facebook,1,0,0,Email Opened,Low in Relevance,Email Opened
647993,Lead Import,Facebook,0,0,0,SMS Sent,,Modified
647994,Lead Import,Facebook,0,,574,Email Bounced,,Modified
647995,Lead Import,Facebook,0,0,0,Email Opened,,Email Opened
647996,Lead Import,Facebook,0,,1724,,,Modified
647971,Landing Page Submission,Direct Traffic,1,3,1118,Email Opened,,Email Opened
647947,API,Olark Chat,0,0,0,Olark Chat Conversation,,Modified
647941,Landing Page Submission,Direct Traffic,1,1,166,Converted to Lead,Might be,Modified
647939,Landing Page Submission,Direct Traffic,0,2,253,Email Opened,,Email Opened
647930,API,Google,1,2,1014,SMS Sent,,SMS Sent
647918,API,Google,1,2,43,Email Opened,,Modified
647916,Landing Page Submission,Google,0,5,1176,Email Opened,Not Sure,Email Opened
647912,API,Olark Chat,0,0,0,Email Opened,,Email Opened
647903,Landing Page Submission,Google,0,7,247,Form Submitted on Website,,Modified
647902,Landing Page Submission,Google,0,4,48,SMS Sent,,SMS Sent
647894,API,Olark Chat,0,0,0,Unsubscribed,Not Sure,Unsubscribed
647861,API,Referral Sites,1,7,1001,Email Opened,Low in Relevance,Email Opened
647851,API,Google,1,2,682,SMS Sent,,SMS Sent
647829,API,Google,0,4,161,Olark Chat Conversation,,Modified
647818,Landing Page Submission,Direct Traffic,0,43,57,Email Opened,Not Sure,Email Opened
647814,Landing Page Submission,Direct Traffic,0,10,124,Email Link Clicked,,Email Link Clicked
647775,API,Olark Chat,1,0,0,Email Opened,,Email Opened
647770,API,Referral Sites,0,3,1198,Unsubscribed,,Unsubscribed
647759,Landing Page Submission,Google,1,7,1387,Page Visited on Website,,Page Visited on Website
647711,API,Google,1,3,1804,SMS Sent,,SMS Sent
647709,API,Olark Chat,1,0,0,Email Opened,,Email Opened
647701,API,Olark Chat,1,0,0,SMS Sent,,SMS Sent
647697,Landing Page Submission,Direct Traffic,0,2,153,SMS Sent,,Modified
647691,API,Referral Sites,0,2,384,Olark Chat Conversation,,Modified
647689,Landing Page Submission,Direct Traffic,1,4,1267,Page Visited on Website,Not Sure,Page Visited on Website
647668,Landing Page Submission,Direct Traffic,1,5,1546,Approached upfront,Might be,Approached upfront
647667,API,Referral Sites,0,2,491,Converted to Lead,,Modified
647665,API,Google,1,5,79,Email Opened,,Email Opened
647654,API,Olark Chat,1,0,0,Email Opened,,Email Opened
647649,API,Organic Search,0,4,287,SMS Sent,Not Sure,Modified
647630,API,Olark Chat,0,0,0,Olark Chat Conversation,,Modified
647606,Landing Page Submission,Direct Traffic,0,1,353,Converted to Lead,,Modified
647600,API,Google,1,2,371,Email Opened,,Email Opened
647591,API,Organic Search,0,5,274,Olark Chat Conversation,,Modified
647584,Landing Page Submission,Direct Traffic,1,3,257,SMS Sent,Might be,SMS Sent
647583,Landing Page Submission,Direct Traffic,0,6,50,Email Opened,,Email Opened
647555,Landing Page Submission,Direct Traffic,0,2,989,Email Opened,,Email Opened
647539,API,Olark Chat,0,0,0,Email Bounced,Worst,Modified
647517,Landing Page Submission,Google,1,6,543,Email Opened,,Email Opened
647504,Landing Page Submission,Organic Search,0,3,658,Olark Chat Conversation,,Modified
647449,Landing Page Submission,Organic Search,1,4,1558,Email Opened,High in Relevance,Email Opened
647448,API,Organic Search,0,5,368,Olark Chat Conversation,,Modified
647423,API,Referral Sites,1,10,325,Unreachable,High in Relevance,Unreachable
647411,Landing Page Submission,Google,1,5,1492,Email Link Clicked,Not Sure,Modified
647404,Landing Page Submission,Google,1,4,1621,SMS Sent,Might be,SMS Sent
647398,API,Organic Search,0,5,199,Email Opened,Low in Relevance,Email Opened
647352,Landing Page Submission,Organic Search,0,5,190,Form Submitted on Website,,Modified
647320,Landing Page Submission,Direct Traffic,1,3,1368,Email Opened,High in Relevance,Email Opened
647300,Landing Page Submission,Organic Search,0,2,387,Email Bounced,Worst,Modified
647299,Landing Page Submission,Direct Traffic,1,2,277,SMS Sent,Might be,SMS Sent
647285,Landing Page Submission,Organic Search,0,4,423,Email Opened,,Email Opened
647279,Landing Page Submission,Direct Traffic,0,3,1095,SMS Sent,,Modified
647256,Landing Page Submission,Direct Traffic,0,1,239,Converted to Lead,Not Sure,Modified
647212,Landing Page Submission,Referral Sites,1,9,1524,SMS Sent,Might be,SMS Sent
647201,API,Direct Traffic,1,4,1839,SMS Sent,High in Relevance,SMS Sent
647199,Landing Page Submission,Direct Traffic,0,2,918,Email Link Clicked,Might be,Email Link Clicked
647177,API,Organic Search,0,8,172,Email Opened,,Email Opened
647142,Landing Page Submission,Direct Traffic,1,2,1266,Converted to Lead,High in Relevance,Modified
647132,API,Olark Chat,0,0,0,Olark Chat Conversation,,Modified
647127,Landing Page Submission,Direct Traffic,0,17,682,Email Opened,,Email Opened
647125,API,Olark Chat,0,0,0,Olark Chat Conversation,,Modified
647123,Landing Page Submission,Direct Traffic,0,7,389,Email Opened,Worst,Email Opened
647113,API,Organic Search,0,1,153,Converted to Lead,,Modified
647084,Landing Page Submission,Direct Traffic,0,2,207,Email Opened,Not Sure,Email Opened
647082,Landing Page Submission,Direct Traffic,0,2,247,SMS Sent,Not Sure,SMS Sent
647080,Landing Page Submission,Organic Search,0,3,107,Page Visited on Website,,Modified
647077,Landing Page Submission,Direct Traffic,0,2,187,Unsubscribed,Worst,Modified
647040,Landing Page Submission,Organic Search,1,3,149,SMS Sent,Might be,SMS Sent
647039,Landing Page Submission,Organic Search,1,4,1381,Email Opened,Might be,Email Opened
646999,API,Olark Chat,0,0,0,SMS Sent,,Modified
646958,API,Olark Chat,0,0,0,SMS Sent,,Modified
646938,Landing Page Submission,Direct Traffic,0,2,219,Email Opened,,Email Opened
646930,Landing Page Submission,bing,0,3,138,Email Opened,,Email Opened
646917,API,Olark Chat,0,0,0,Olark Chat Conversation,,Modified
646915,Landing Page Submission,Direct Traffic,0,2,33,Email Opened,,Email Opened
646876,API,Olark Chat,0,0,0,Olark Chat Conversation,,Modified
646873,Landing Page Submission,Direct Traffic,0,3,417,Email Opened,Not Sure,Email Opened
646863,Landing Page Submission,Direct Traffic,1,6,1445,Email Opened,High in Relevance,Email Opened
646858,API,Google,0,2,419,Email Opened,,Email Opened
646857,API,Olark Chat,0,0,0,Olark Chat Conversation,,Modified
646849,API,Olark Chat,0,0,0,Olark Chat Conversation,Not Sure,Modified
646847,Landing Page Submission,Direct Traffic,0,2,24,SMS Sent,Worst,Modified
646842,API,Olark Chat,0,0,0,Olark Chat Conversation,,Modified
646841,API,Olark Chat,0,0,0,Email Opened,,Modified
646839,API,Olark Chat,0,0,0,Olark Chat Conversation,,Olark Chat Conversation
646838,Landing Page Submission,Direct Traffic,0,2,6,Email Link Clicked,,Email Link Clicked
646808,API,Olark Chat,0,0,0,Olark Chat Conversation,,Olark Chat Conversation
646799,API,Olark Chat,0,0,0,Email Bounced,,Modified
646772,Lead Add Form,Reference,1,0,0,Email Opened,Low in Relevance,Email Opened
646768,API,Olark Chat,0,0,0,Olark Chat Conversation,,Modified
646762,API,Olark Chat,0,0,0,Olark Chat Conversation,,Modified
646755,API,Olark Chat,0,0,0,Olark Chat Conversation,,Olark Chat Conversation
646749,API,Olark Chat,0,0,0,Olark Chat Conversation,,Modified
646741,Landing Page Submission,Direct Traffic,0,2,97,Email Opened,Not Sure,Email Opened
646738,API,Olark Chat,0,0,0,Olark Chat Conversation,,Modified
646729,API,Olark Chat,0,0,0,Email Opened,,Modified
646726,Landing Page Submission,Direct Traffic,1,8,10,SMS Sent,Might be,SMS Sent
646710,Landing Page Submission,Direct Traffic,0,1,427,Converted to Lead,,Modified
646701,API,Olark Chat,0,0,0,Olark Chat Conversation,,Modified
646697,API,Olark Chat,0,0,0,Email Opened,,Email Opened
646688,API,Olark Chat,0,0,0,Olark Chat Conversation,,Modified
646680,API,Organic Search,1,9,214,Email Opened,,Email Opened
646673,Landing Page Submission,Direct Traffic,0,2,1497,SMS Sent,,Modified
646662,Lead Add Form,Reference,1,,1252,,High in Relevance,Modified
646652,Landing Page Submission,Direct Traffic,0,2,1155,SMS Sent,,Modified
646645,Landing Page Submission,Direct Traffic,0,2,19,Email Opened,,Email Opened
646617,Landing Page Submission,Direct Traffic,0,2,7,Email Opened,Worst,Email Opened
646577,Landing Page Submission,Google,0,2,104,Had a Phone Conversation,Not Sure,Modified
646574,Landing Page Submission,Google,1,6,1040,Email Opened,Might be,Email Opened
646573,API,Olark Chat,0,0,0,Email Opened,,Modified
646570,Landing Page Submission,Google,0,4,76,Email Opened,,Email Opened
646558,Landing Page Submission,Organic Search,1,6,298,SMS Sent,Might be,SMS Sent
646552,Lead Add Form,Reference,0,,74,,Low in Relevance,Modified
646546,API,Olark Chat,1,0,0,Email Opened,,Email Opened
646545,API,Olark Chat,0,0,0,Email Opened,,Email Opened
646544,Lead Add Form,Welingak Website,1,0,0,SMS Sent,,SMS Sent
646534,Landing Page Submission,Google,1,2,833,Email Bounced,Not Sure,Email Bounced
646522,Landing Page Submission,Direct Traffic,1,2,855,SMS Sent,Might be,SMS Sent
646508,API,Google,1,3,1553,Olark Chat Conversation,,Modified
646504,Landing Page Submission,Organic Search,1,5,1208,SMS Sent,Might be,SMS Sent
646501,API,Google,0,3,1395,Email Opened,,Modified
646491,API,Google,1,2,1499,SMS Sent,,SMS Sent
646462,API,Google,0,5,636,Olark Chat Conversation,,Modified
646456,API,Olark Chat,1,0,0,SMS Sent,,SMS Sent
646453,API,Olark Chat,1,0,0,SMS Sent,High in Relevance,Modified
646451,Landing Page Submission,Google,0,6,240,Page Visited on Website,,Modified
646449,Landing Page Submission,Google,0,3,125,SMS Sent,,Modified
646448,Landing Page Submission,Direct Traffic,0,3,184,Email Opened,Not Sure,Email Opened
646447,API,Google,0,5,39,Olark Chat Conversation,,Modified
646433,API,Google,0,2,541,Olark Chat Conversation,,Modified
646432,Landing Page Submission,Direct Traffic,0,3,506,Email Opened,,Email Opened
646426,API,Olark Chat,0,0,0,Olark Chat Conversation,,Modified
646413,Lead Add Form,Reference,1,0,0,SMS Sent,Not Sure,SMS Sent
646412,API,Google,1,3,714,Email Opened,Low in Relevance,Email Opened
646398,API,Olark Chat,0,0,0,Email Bounced,,Email Bounced
646388,Landing Page Submission,Google,1,4,984,SMS Sent,Might be,SMS Sent
646370,Landing Page Submission,Google,0,4,28,Email Opened,,Email Opened
646366,Landing Page Submission,Organic Search,1,18,1569,SMS Sent,Might be,SMS Sent
646363,API,Google,0,3,491,Email Opened,High in Relevance,Email Opened
646360,API,Google,1,3,881,Email Opened,Low in Relevance,Email Opened
646355,API,Google,1,5,954,Email Opened,,Email Opened
646337,Lead Add Form,Reference,1,0,0,SMS Sent,High in Relevance,SMS Sent
646335,API,Google,0,2,1152,SMS Sent,,Modified
646334,Landing Page Submission,Google,1,2,1392,Email Opened,,Email Opened
646330,API,Organic Search,1,3,1557,SMS Sent,Might be,SMS Sent
646329,Landing Page Submission,Direct Traffic,0,2,76,Email Link Clicked,Not Sure,Modified
646320,Lead Add Form,Reference,1,0,0,SMS Sent,High in Relevance,Modified
646308,API,Olark Chat,1,0,0,Email Opened,,Email Opened
646302,API,Olark Chat,1,0,0,SMS Sent,,SMS Sent
646285,API,Google,0,4,113,Email Link Clicked,,Email Link Clicked
646279,API,Olark Chat,1,1,1076,Email Opened,,Email Opened
646276,API,Google,0,6,63,Email Opened,,Email Opened
646266,API,Olark Chat,0,0,0,Email Opened,,Modified
646253,Lead Add Form,Reference,1,0,0,Email Opened,High in Relevance,Email Opened
646241,Landing Page Submission,Google,1,3,512,SMS Sent,Might be,SMS Sent
646238,Landing Page Submission,Direct Traffic,0,3,224,Olark Chat Conversation,,Olark Chat Conversation
646231,Landing Page Submission,Direct Traffic,0,3,231,Email Opened,Not Sure,Email Opened
646227,API,Google,0,4,422,Email Opened,,Modified
646207,Landing Page Submission,Direct Traffic,1,6,1343,SMS Sent,Might be,SMS Sent
646199,API,Google,1,3,1117,Email Opened,Low in Relevance,Email Opened
646191,Landing Page Submission,Google,1,2,230,Email Opened,Might be,Email Opened
646189,API,Organic Search,1,5,908,SMS Sent,Not Sure,SMS Sent
646182,Landing Page Submission,Direct Traffic,1,2,179,Email Opened,,Email Opened
646181,API,Google,0,2,200,Email Opened,Might be,Email Opened
646170,API,Google,1,3,1360,SMS Sent,,SMS Sent
646086,API,Google,1,2,1165,SMS Sent,Low in Relevance,SMS Sent
646078,API,Olark Chat,0,0,0,Olark Chat Conversation,,Modified
646076,Landing Page Submission,Direct Traffic,1,6,1121,Email Opened,High in Relevance,Email Opened
646068,Landing Page Submission,Direct Traffic,1,2,1579,Email Opened,Might be,Email Opened
646014,API,Google,0,2,138,Email Opened,,Email Opened
646010,Landing Page Submission,Direct Traffic,0,4,48,Email Opened,Not Sure,Email Opened
646003,Landing Page Submission,Google,0,4,113,SMS Sent,,SMS Sent
646001,Landing Page Submission,Direct Traffic,1,2,942,Email Opened,High in Relevance,Email Opened
645967,Landing Page Submission,Organic Search,0,5,61,Email Opened,,Email Opened
645960,Landing Page Submission,Direct Traffic,0,3,21,Email Link Clicked,Worst,Email Link Clicked
645948,Landing Page Submission,Google,0,13,254,Email Opened,Not Sure,Email Opened
645946,Landing Page Submission,Direct Traffic,0,3,505,Email Link Clicked,Might be,Email Link Clicked
645937,API,Olark Chat,0,0,0,Email Link Clicked,,Email Link Clicked
645927,API,Google,1,4,1874,SMS Sent,Low in Relevance,SMS Sent
645914,Landing Page Submission,Organic Search,0,9,1208,Email Opened,,Email Opened
645889,Landing Page Submission,Direct Traffic,1,5,788,Email Opened,High in Relevance,Email Opened
645887,Landing Page Submission,Direct Traffic,1,2,71,Email Opened,Might be,Email Opened
645883,API,Olark Chat,0,0,0,Email Opened,,Email Opened
645875,Landing Page Submission,Organic Search,1,6,788,SMS Sent,Might be,SMS Sent
645843,Landing Page Submission,Organic Search,0,5,285,Email Opened,,Email Opened
645840,Landing Page Submission,Direct Traffic,1,2,1008,Email Link Clicked,,Email Link Clicked
645825,Lead Add Form,Reference,1,0,0,Email Opened,High in Relevance,Email Opened
645818,Landing Page Submission,Direct Traffic,0,1,471,Converted to Lead,,Modified
645814,Landing Page Submission,Direct Traffic,0,3,117,Page Visited on Website,,Modified
645810,API,Olark Chat,1,7,1186,Page Visited on Website,Low in Relevance,Page Visited on Website
645806,Landing Page Submission,Organic Search,0,9,296,Email Opened,Not Sure,Email Opened
645802,Landing Page Submission,Google,0,4,526,SMS Sent,Not Sure,SMS Sent
645791,Landing Page Submission,Direct Traffic,0,2,31,Email Opened,Might be,Email Opened
645790,Landing Page Submission,Direct Traffic,1,4,754,Page Visited on Website,Low in Relevance,Page Visited on Website
645785,Landing Page Submission,Google,1,2,189,Email Opened,High in Relevance,Email Opened
645773,API,Google,1,2,369,Email Opened,High in Relevance,Email Opened
645763,Landing Page Submission,Direct Traffic,1,1,42,Converted to Lead,Not Sure,Modified
645760,API,Olark Chat,1,0,0,Email Opened,,Email Opened
645755,API,Olark Chat,1,0,0,Email Opened,,Email Opened
645735,Landing Page Submission,Organic Search,1,11,608,SMS Sent,,SMS Sent
645725,API,Olark Chat,0,0,0,Olark Chat Conversation,,Modified
645714,API,Olark Chat,1,0,0,Email Opened,,Email Opened
645713,API,Olark Chat,0,0,0,Olark Chat Conversation,,Modified
645710,Landing Page Submission,Direct Traffic,0,11,1236,SMS Sent,,Modified
645703,Landing Page Submission,Referral Sites,1,6,1689,Email Opened,Might be,Email Opened
645699,Landing Page Submission,Direct Traffic,0,4,322,SMS Sent,Might be,SMS Sent
645690,API,Direct Traffic,1,6,1408,Email Opened,Might be,Email Opened
645671,API,Google,0,2,59,Email Opened,,Email Opened
645668,Lead Add Form,Welingak Website,1,0,0,Email Opened,,Email Opened
645664,API,Olark Chat,1,0,0,Email Link Clicked,,Email Link Clicked
645662,Landing Page Submission,Organic Search,0,8,550,Email Opened,,Email Opened
645659,Landing Page Submission,Direct Traffic,0,2,963,Email Opened,,Email Opened
645657,API,Google,1,2,923,Email Opened,,Email Opened
645640,Landing Page Submission,Organic Search,1,4,1121,SMS Sent,,SMS Sent
645636,API,Google,1,6,1366,SMS Sent,,SMS Sent
645629,Landing Page Submission,Direct Traffic,0,2,77,Email Opened,Not Sure,Email Opened
645612,API,Olark Chat,0,5,274,Page Visited on Website,,Page Visited on Website
645610,API,Direct Traffic,0,4,446,Email Opened,,Email Opened
645601,API,Google,1,2,972,Email Opened,,Email Opened
645596,Lead Add Form,Welingak Website,1,0,0,Email Opened,,Modified
645563,API,Olark Chat,0,0,0,Olark Chat Conversation,,Olark Chat Conversation
645545,Landing Page Submission,Direct Traffic,0,7,252,Email Opened,Might be,Email Opened
645538,Landing Page Submission,Direct Traffic,1,3,1346,Email Opened,High in Relevance,Email Opened
645530,API,Google,1,2,1108,Converted to Lead,,Modified
645524,API,Olark Chat,1,0,0,Email Opened,,Modified
645523,API,Google,1,2,1606,Email Opened,,Email Opened
645517,Landing Page Submission,Google,0,5,1209,Email Opened,,Email Opened
645515,Landing Page Submission,Google,0,3,315,Email Opened,Not Sure,Email Opened
645512,API,Google,1,6,1552,Email Opened,,Email Opened
645495,Landing Page Submission,Direct Traffic,0,5,88,Email Opened,Not Sure,Email Opened
645491,API,Google,0,4,185,Page Visited on Website,,Modified
645483,API,Google,1,2,485,Email Opened,High in Relevance,Email Opened
645481,API,Olark Chat,0,0,0,Olark Chat Conversation,,Modified
645472,Landing Page Submission,Direct Traffic,1,8,103,SMS Sent,Might be,SMS Sent
645458,Landing Page Submission,Direct Traffic,1,2,816,Email Opened,,Email Opened
645457,API,Google,1,3,1319,Email Opened,,Email Opened
645447,Landing Page Submission,Google,0,3,240,Email Opened,,Email Opened
645441,API,Olark Chat,1,0,0,Email Opened,,Email Opened
645431,Landing Page Submission,Google,0,5,286,Email Opened,,Email Opened
645422,API,Olark Chat,0,0,0,Email Opened,,Email Opened
645398,Lead Add Form,Welingak Website,1,0,0,SMS Sent,,Modified
645392,Lead Add Form,Welingak Website,1,0,0,SMS Sent,,SMS Sent
645388,API,Google,1,2,2020,Email Opened,,Email Opened
645386,Landing Page Submission,Direct Traffic,0,3,212,Email Opened,,Email Opened
645385,API,Google,1,2,880,Email Opened,High in Relevance,Email Opened
645381,Landing Page Submission,Google,0,5,1369,Email Bounced,Not Sure,Email Bounced
645378,Landing Page Submission,Google,0,3,172,Form Submitted on Website,,Modified
645377,Lead Add Form,Welingak Website,1,,429,,,Modified
645372,Landing Page Submission,Google,0,2,14,Email Opened,,Email Opened
645370,Lead Add Form,Reference,1,,186,,Low in Relevance,Modified
645355,Landing Page Submission,Google,1,2,861,SMS Sent,Might be,SMS Sent
645352,Lead Add Form,Welingak Website,1,0,0,Email Opened,,Email Opened
645350,API,Google,1,2,640,Email Opened,Low in Relevance,Email Opened
645342,Landing Page Submission,Direct Traffic,0,3,580,Email Opened,,Email Opened
645335,Landing Page Submission,Direct Traffic,0,2,1603,Page Visited on Website,Not Sure,Modified
645333,API,Google,1,3,1459,Email Opened,,Email Opened
645330,API,Olark Chat,0,0,0,Olark Chat Conversation,,Modified
645324,Landing Page Submission,Google,1,3,359,SMS Sent,Might be,SMS Sent
645315,Landing Page Submission,Direct Traffic,1,5,100,SMS Sent,Might be,SMS Sent
645308,Landing Page Submission,Google,1,3,423,SMS Sent,,SMS Sent
645305,Lead Add Form,Reference,1,0,0,Email Opened,High in Relevance,Email Opened
645294,API,Google,1,2,1520,SMS Sent,,SMS Sent
645292,Landing Page Submission,Google,1,4,1360,SMS Sent,Might be,SMS Sent
645291,Landing Page Submission,Direct Traffic,0,2,2,SMS Sent,Might be,Modified
645285,Landing Page Submission,Organic Search,0,5,294,Email Opened,,Email Opened
645276,Landing Page Submission,Google,1,4,1261,Form Submitted on Website,Might be,Modified
645274,API,Olark Chat,0,3,135,Email Link Clicked,,Email Link Clicked
645271,Landing Page Submission,Google,0,4,1805,Email Opened,,Email Opened
645265,Landing Page Submission,Google,0,4,110,SMS Sent,,SMS Sent
645252,Landing Page Submission,Direct Traffic,0,3,42,Email Opened,,Email Opened
645243,Lead Add Form,Reference,1,0,0,SMS Sent,,SMS Sent
645241,API,Organic Search,0,5,45,Email Opened,,Email Opened
645226,Landing Page Submission,Google,0,1,866,Email Bounced,,Modified
645218,Landing Page Submission,Google,1,7,938,Email Opened,Not Sure,Modified
645215,API,Google,0,8,397,Olark Chat Conversation,,Olark Chat Conversation
645200,API,Organic Search,1,5,1084,Olark Chat Conversation,,Modified
645184,Landing Page Submission,Google,0,6,148,SMS Sent,Not Sure,Modified
645176,API,Google,1,2,1345,Email Opened,Might be,Email Opened
645173,Landing Page Submission,Direct Traffic,1,4,1709,SMS Sent,Not Sure,SMS Sent
645172,Landing Page Submission,Google,1,4,1588,SMS Sent,Might be,SMS Sent
645169,API,Olark Chat,0,0,0,Olark Chat Conversation,,Modified
645155,API,Direct Traffic,0,3,533,Email Opened,,Modified
645154,API,Olark Chat,0,0,0,Email Opened,,Email Opened
645149,Landing Page Submission,Google,0,2,1288,Email Opened,,Email Opened
645148,Landing Page Submission,Direct Traffic,0,6,95,Email Opened,,Email Opened
645140,API,Google,0,4,12,Page Visited on Website,,Page Visited on Website
645131,Landing Page Submission,Organic Search,1,11,1054,Email Opened,Not Sure,Email Opened
645128,Landing Page Submission,Direct Traffic,1,4,664,Email Opened,Might be,Email Opened
645114,Landing Page Submission,Google,0,3,336,Email Opened,,Email Opened
645110,Landing Page Submission,Direct Traffic,0,2,291,SMS Sent,,SMS Sent
645099,Landing Page Submission,Google,1,4,1688,Email Opened,Low in Relevance,Email Opened
645089,Landing Page Submission,Google,1,10,1467,Email Opened,High in Relevance,Email Opened
645067,Landing Page Submission,Organic Search,0,8,419,Email Link Clicked,Low in Relevance,Email Link Clicked
645057,API,Google,1,4,427,Email Opened,Might be,Email Opened
645051,API,Google,0,5,294,Email Opened,,Email Opened
645035,API,Google,0,6,529,Email Opened,,Email Opened
645026,Landing Page Submission,Google,1,2,1296,Converted to Lead,,Modified
645024,API,Olark Chat,0,2,139,Email Opened,,Email Opened
645009,Landing Page Submission,Google,1,3,1683,Email Opened,High in Relevance,Email Opened
644990,API,Google,0,1,254,Converted to Lead,Low in Relevance,Modified
644988,Landing Page Submission,Direct Traffic,1,3,1223,Email Opened,High in Relevance,Email Opened
644985,Landing Page Submission,Direct Traffic,1,2,940,SMS Sent,Might be,SMS Sent
644961,Landing Page Submission,Google,0,5,9,SMS Sent,Might be,Modified
644954,Landing Page Submission,Direct Traffic,0,2,270,Email Opened,,Email Opened
644953,API,Google,1,5,1323,SMS Sent,Might be,SMS Sent
644924,Landing Page Submission,Google,0,4,469,Email Opened,,Email Opened
644912,API,Google,0,6,326,Email Opened,,Email Opened
644911,API,Google,0,4,45,Email Opened,Worst,Modified
644906,Landing Page Submission,Google,1,6,1975,Email Link Clicked,Low in Relevance,Email Link Clicked
644905,Landing Page Submission,Google,0,4,1064,Email Opened,Might be,Email Opened
644900,Landing Page Submission,Google,1,6,1681,Email Opened,Might be,Email Opened
644895,API,Olark Chat,0,0,0,Email Opened,,Modified
644885,Landing Page Submission,Direct Traffic,1,2,1545,Email Opened,Low in Relevance,Email Opened
644881,API,Direct Traffic,0,20,1165,Email Opened,,Modified
644880,API,Olark Chat,1,0,0,Olark Chat Conversation,,Modified
644871,API,Google,0,5,71,Olark Chat Conversation,,Modified
644862,Landing Page Submission,Google,0,6,1152,SMS Sent,,SMS Sent
644861,API,Olark Chat,0,0,0,Olark Chat Conversation,,Modified
644821,Landing Page Submission,Direct Traffic,0,1,211,Converted to Lead,Not Sure,Modified
644816,Landing Page Submission,Google,0,4,367,Email Opened,,Modified
644763,API,Google,0,2,942,SMS Sent,Worst,Modified
644758,Landing Page Submission,Google,1,4,894,SMS Sent,Might be,SMS Sent
644750,API,Google,1,2,1132,Email Opened,Might be,Email Opened
644724,Landing Page Submission,Direct Traffic,1,3,941,Email Opened,,Email Opened
644723,API,Organic Search,1,8,234,SMS Sent,Might be,SMS Sent
644717,Landing Page Submission,Organic Search,0,4,1075,Email Opened,,Email Opened
644710,Landing Page Submission,Google,0,6,153,Email Opened,,Email Opened
644706,Landing Page Submission,Direct Traffic,1,5,1275,Email Opened,Might be,Email Opened
644703,API,Google,0,2,1322,Email Opened,,Email Opened
644702,API,Google,1,3,1210,Email Opened,Might be,Email Opened
644691,Landing Page Submission,Organic Search,0,5,211,Email Opened,Might be,Email Opened
644680,API,Google,0,1,147,Converted to Lead,,Modified
644671,Landing Page Submission,Google,0,7,67,Email Opened,Low in Relevance,Modified
644665,Landing Page Submission,Google,1,6,938,Email Opened,High in Relevance,Email Opened
644658,API,Olark Chat,0,0,0,Email Link Clicked,,Modified
644642,API,Olark Chat,1,1,832,Email Opened,Might be,Email Opened
644641,Landing Page Submission,Google,0,3,352,Email Opened,,Email Opened
644640,API,Olark Chat,0,0,0,Olark Chat Conversation,,Modified
644624,Landing Page Submission,Google,0,4,125,SMS Sent,Not Sure,Modified
644599,Landing Page Submission,Direct Traffic,0,3,258,Email Opened,,Email Opened
644594,Landing Page Submission,Direct Traffic,0,2,51,Email Opened,Not Sure,Email Opened
644576,API,Olark Chat,0,3,15,Email Opened,,Email Opened
644524,Landing Page Submission,Direct Traffic,1,1,993,Converted to Lead,Might be,Modified
644512,Landing Page Submission,Direct Traffic,0,2,883,Email Opened,Not Sure,Email Opened
644500,Landing Page Submission,Direct Traffic,1,5,1513,Email Opened,Low in Relevance,Email Opened
644481,Landing Page Submission,Organic Search,0,12,339,Email Opened,,Email Opened
644477,Landing Page Submission,Direct Traffic,0,3,30,Email Opened,,Email Opened
644466,API,Google,0,5,353,Email Opened,,Email Opened
644453,API,Olark Chat,0,0,0,Olark Chat Conversation,Worst,Modified
644450,API,Google,0,2,279,Email Opened,,Email Opened
644414,Landing Page Submission,Direct Traffic,0,5,387,Email Opened,,Email Opened
644410,Landing Page Submission,Direct Traffic,0,3,37,Email Opened,,Email Opened
644390,API,Organic Search,0,9,413,Email Opened,,Email Opened
644388,Landing Page Submission,Direct Traffic,0,10,68,Email Opened,,Email Opened
